date,y,discount_rate,coupon_rate,y_diff
2018-01-01,6270839.0,34.27%,1.09%,
2018-01-02,8922076.0,30.87%,1.08%,2651237.0
2018-01-03,8446101.0,28.11%,1.01%,-475975.0
2018-01-04,7785798.0,27.32%,0.96%,-660303.0
2018-01-05,6375303.0,25.70%,0.90%,-1410495.0
2018-01-06,6095418.0,25.02%,0.87%,-279885.0
2018-01-07,7661844.0,25.33%,1.06%,1566426.0
2018-01-08,7036112.0,24.83%,1.03%,-625732.0
2018-01-09,7100900.0,25.11%,1.00%,64788.0
2018-01-10,7148865.0,25.16%,0.91%,47965.0
2018-01-11,7013113.0,26.55%,0.90%,-135752.0
2018-01-12,6094297.0,25.81%,0.94%,-918816.0
2018-01-13,5647838.0,23.46%,0.93%,-446459.0
2018-01-14,7377005.0,23.76%,1.11%,1729167.0
2018-01-15,6736977.0,24.39%,0.99%,-640028.0
2018-01-16,7194062.0,26.07%,0.98%,457085.0
2018-01-17,7124206.0,24.64%,0.93%,-69856.0
2018-01-18,6670106.0,24.99%,0.93%,-454100.0
2018-01-19,5805801.0,25.60%,0.98%,-864305.0
2018-01-20,5792547.0,24.79%,0.95%,-13254.0
2018-01-21,7430284.0,23.32%,1.07%,1637737.0
2018-01-22,6538657.0,23.36%,1.02%,-891627.0
2018-01-23,6973820.0,27.27%,1.05%,435163.0
2018-01-24,6555452.0,25.33%,0.93%,-418368.0
2018-01-25,6199426.0,25.37%,0.92%,-356026.0
2018-01-26,7464262.0,29.88%,7.90%,1264836.0
2018-01-27,6570872.0,26.94%,6.65%,-893390.0
2018-01-28,9382441.0,26.40%,7.30%,2811569.0
2018-01-29,5902767.0,20.10%,0.95%,-3479674.0
2018-01-30,6047600.0,20.12%,0.89%,144833.0
2018-01-31,6460824.0,20.34%,0.91%,413224.0
2018-02-01,6108498.0,20.17%,0.83%,-352326.0
2018-02-02,5203061.0,19.23%,0.85%,-905437.0
2018-02-03,5445384.0,18.19%,0.85%,242323.0
2018-02-04,6537030.0,14.86%,1.01%,1091646.0
2018-02-05,6024455.0,19.39%,0.98%,-512575.0
2018-02-06,6430525.0,19.23%,0.91%,406070.0
2018-02-07,5934381.0,18.51%,0.86%,-496144.0
2018-02-08,5890259.0,22.04%,0.90%,-44122.0
2018-02-09,5648454.0,24.59%,0.93%,-241805.0
2018-02-10,5153653.0,21.47%,0.92%,-494801.0
2018-02-11,6477649.0,18.89%,1.08%,1323996.0
2018-02-12,5914438.0,19.79%,1.11%,-563211.0
2018-02-13,5975411.0,23.59%,0.97%,60973.0
2018-02-14,5918666.0,20.16%,0.93%,-56745.0
2018-02-15,6468033.0,23.48%,0.87%,549367.0
2018-02-16,5431671.0,23.00%,0.86%,-1036362.0
2018-02-17,5788163.0,21.08%,0.89%,356492.0
2018-02-18,6766567.0,17.84%,1.01%,978404.0
2018-02-19,6225450.0,19.65%,1.01%,-541117.0
2018-02-20,6278211.0,18.91%,0.92%,52761.0
2018-02-21,6497016.0,22.81%,0.95%,218805.0
2018-02-22,6260193.0,21.31%,0.91%,-236823.0
2018-02-23,5233502.0,20.64%,0.90%,-1026691.0
2018-02-24,5751533.0,24.10%,1.02%,518031.0
2018-02-25,7286600.0,18.36%,1.35%,1535067.0
2018-02-26,6221031.0,15.40%,1.03%,-1065569.0
2018-02-27,6777082.0,18.72%,1.00%,556051.0
2018-02-28,6875978.0,17.32%,1.18%,98896.0
2018-03-01,6941968.0,18.01%,1.36%,65990.0
2018-03-02,6042518.0,17.33%,1.44%,-899450.0
2018-03-03,6368153.0,15.67%,1.48%,325635.0
2018-03-04,8294406.0,14.38%,1.67%,1926253.0
2018-03-05,7119386.0,14.25%,1.56%,-1175020.0
2018-03-06,7426038.0,15.54%,1.41%,306652.0
2018-03-07,8068561.0,16.55%,1.28%,642523.0
2018-03-08,6930138.0,15.15%,1.22%,-1138423.0
2018-03-09,7086706.0,12.43%,4.89%,156568.0
2018-03-10,7827741.0,11.79%,5.48%,741035.0
2018-03-11,11719496.0,8.89%,7.06%,3891755.0
2018-03-12,7291120.0,10.41%,1.38%,-4428376.0
2018-03-13,7390332.0,13.57%,1.18%,99212.0
2018-03-14,7750793.0,13.64%,1.19%,360461.0
2018-03-15,7071170.0,14.00%,1.09%,-679623.0
2018-03-16,6524949.0,14.28%,1.06%,-546221.0
2018-03-17,6954426.0,13.95%,0.88%,429477.0
2018-03-18,8688810.0,11.03%,1.11%,1734384.0
2018-03-19,7237749.0,12.26%,1.03%,-1451061.0
2018-03-20,6869713.0,11.53%,0.97%,-368036.0
2018-03-21,7146951.0,12.30%,0.98%,277238.0
2018-03-22,7262396.0,14.31%,0.95%,115445.0
2018-03-23,6723698.0,16.34%,0.90%,-538698.0
2018-03-24,6832878.0,15.61%,0.89%,109180.0
2018-03-25,9126037.0,13.48%,1.16%,2293159.0
2018-03-26,8267878.0,12.86%,1.15%,-858159.0
2018-03-27,7604677.0,13.32%,1.03%,-663201.0
2018-03-28,6923463.0,13.54%,0.94%,-681214.0
2018-03-29,6030032.0,13.69%,0.89%,-893431.0
2018-03-30,6012156.0,12.97%,0.98%,-17876.0
2018-03-31,5674855.0,12.11%,1.12%,-337301.0
2018-04-01,5917714.0,11.39%,1.06%,242859.0
2018-04-02,7403582.0,10.32%,0.90%,1485868.0
2018-04-03,7886915.0,11.33%,0.70%,483333.0
2018-04-04,7717320.0,9.33%,0.63%,-169595.0
2018-04-05,7682788.0,11.11%,0.66%,-34532.0
2018-04-06,6567255.0,11.04%,0.66%,-1115533.0
2018-04-07,6201919.0,11.11%,0.63%,-365336.0
2018-04-08,10544111.0,12.47%,0.92%,4342192.0
2018-04-09,9937207.0,12.15%,0.98%,-606904.0
2018-04-10,9492506.0,12.24%,0.90%,-444701.0
2018-04-11,9672925.0,13.55%,0.79%,180419.0
2018-04-12,8795241.0,13.09%,0.81%,-877684.0
2018-04-13,7480508.0,13.18%,0.79%,-1314733.0
2018-04-14,7287952.0,13.59%,0.78%,-192556.0
2018-04-15,10944709.0,13.43%,1.06%,3656757.0
2018-04-16,9885508.0,13.64%,1.03%,-1059201.0
2018-04-17,9208247.0,12.44%,0.91%,-677261.0
2018-04-18,9587954.0,15.56%,0.82%,379707.0
2018-04-19,9063184.0,13.44%,0.86%,-524770.0
